Name,Team,Year,Games Plyd,Rush,Rush Yards,Rush TD,Target,Catch,Catch yards,Catch TD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryant | Dez,DAL,2012,16,2,-5,,138,92,1382,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buchanon | William,OAK,2006,1,,,,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bumpus | Michael,SEA,2008,4,,,,8,5,48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burleson | Nate,DET,2010,14,7,81,,86,55,625,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burleson | Nate,DET,2011,16,11,85,,110,73,757,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burleson | Nate,DET,2012,6,8,48,,43,27,240,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burleson | Nate,MIN,2004,16,6,49,,102,68,1006,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burleson | Nate,MIN,2005,12,2,-6,,55,30,328,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burleson | Nate,SEA,2006,14,,,,33,18,192,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burleson | Nate,SEA,2007,16,2,4,,95,50,694,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burleson | Nate,SEA,2008,1,,,,9,5,60,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burleson | Nate,SEA,2009,13,2,4,,103,63,812,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burress | Plaxico,NYG,2005,16,,,,169,76,1214,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burress | Plaxico,NYG,2006,15,,,,124,63,988,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burress | Plaxico,NYG,2007,16,,,,141,70,1025,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burress | Plaxico,NYG,2008,10,,,,66,35,454,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burress | Plaxico,NYJ,2011,16,,,,96,45,612,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burress | Plaxico,PIT,2004,11,,,,64,35,698,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burress | Plaxico,PIT,2012,4,,,,7,3,42,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burton | Keenan,STL,2008,13,3,8,,29,13,172,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burton | Keenan,STL,2009,9,,,,44,25,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burton | Stephen,MIN,2012,11,,,,10,5,35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butler | Deon,SEA,2009,16,,,,42,15,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butler | Deon,SEA,2010,13,2,6,,70,36,385,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butler | Deon,SEA,2011,5,,,,7,6,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Byrd | LaRon,ARI,2012,4,,,,2,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caldwell | Andre,CIN,2008,7,5,53,,19,11,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caldwell | Andre,CIN,2009,16,3,22,,80,51,432,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caldwell | Andre,CIN,2010,15,1,-2,,37,25,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caldwell | Andre,CIN,2011,13,,,,68,37,317,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caldwell | Andre,DEN,2012,8,1,14,,4,1,18,,,,,,,,,,,,,,,,,,,,,,,,,
Caldwell | Reche,NE,2006,16,1,5,,110,61,760,4,,,,,,,,,,,,,,,,,,,,,,,,
Caldwell | Reche,SD,2004,6,4,45,,29,18,310,3,,,,,,,,,,,,,,,,,,,,,,,,
Caldwell | Reche,SD,2005,13,2,10,,44,28,352,1,,,,,,,,,,,,,,,,,,,,,,,,
Caldwell | Reche,WAS,2007,8,,,,22,15,141,,,,,,,,,,,,,,,,,,,,,,,,,
Calhoun | Duke,NYG,2010,9,,,,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,
Calico | Tyrone,TEN,2004,1,,,,4,2,13,,,,,,,,,,,,,,,,,,,,,,,,,
Calico | Tyrone,TEN,2005,12,,,,40,22,191,,,,,,,,,,,,,,,,,,,,,,,,,
Camarillo | Greg,MIA,2007,15,,,,10,8,160,2,,,,,,,,,,,,,,,,,,,,,,,,
Camarillo | Greg,MIA,2008,11,2,1,,83,55,613,2,,,,,,,,,,,,,,,,,,,,,,,,
Camarillo | Greg,MIA,2009,16,,,,71,50,552,,,,,,,,,,,,,,,,,,,,,,,,,
Camarillo | Greg,MIN,2010,16,,,,34,20,240,1,,,,,,,,,,,,,,,,,,,,,,,,
Camarillo | Greg,MIN,2011,13,,,,24,9,121,,,,,,,,,,,,,,,,,,,,,,,,,
Camarillo | Greg,NOS,2012,5,,,,5,4,44,,,,,,,,,,,,,,,,,,,,,,,,,
Campbell | Kelly,MIN,2004,12,3,4,,32,19,364,1,,,,,,,,,,,,,,,,,,,,,,,,
Carter | Drew,CAR,2005,3,,,,16,5,103,1,,,,,,,,,,,,,,,,,,,,,,,,
Carter | Drew,CAR,2006,10,1,11,,52,27,352,3,,,,,,,,,,,,,,,,,,,,,,,,
Carter | Drew,CAR,2007,16,,,,75,38,517,4,,,,,,,,,,,,,,,,,,,,,,,,
Carter | Jon,NYJ,2004,9,,,,17,10,173,1,,,,,,,,,,,,,,,,,,,,,,,,
Carter | Tim,CLE,2007,16,,,,22,8,117,1,,,,,,,,,,,,,,,,,,,,,,,,
Carter | Tim,NYG,2004,5,2,23,,19,12,182,1,,,,,,,,,,,,,,,,,,,,,,,,
Carter | Tim,NYG,2005,13,6,46,,24,10,186,,,,,,,,,,,,,,,,,,,,,,,,,
Carter | Tim,NYG,2006,15,,,,47,20,227,2,,,,,,,,,,,,,,,,,,,,,,,,
Carter | Tim,STL,2009,2,,,,5,1,6,,,,,,,,,,,,,,,,,,,,,,,,,
Chambers | Chris,KC,2010,13,,,,43,22,213,1,,,,,,,,,,,,,,,,,,,,,,,,
Chambers | Chris,MIA,2004,15,9,76,,135,69,898,7,,,,,,,,,,,,,,,,,,,,,,,,
Chambers | Chris,MIA,2005,16,12,92,,164,82,1118,11,,,,,,,,,,,,,,,,,,,,,,,,
Chambers | Chris,MIA,2006,16,8,95,,159,59,677,4,,,,,,,,,,,,,,,,,,,,,,,,
Chambers | Chris,SD,2007,16,3,12,,129,66,970,4,,,,,,,,,,,,,,,,,,,,,,,,
Chambers | Chris,SD,2008,14,1,1,,64,33,462,5,,,,,,,,,,,,,,,,,,,,,,,,
Chambers | Chris,SD,2009,16,,,,92,45,730,5,,,,,,,,,,,,,,,,,,,,,,,,
Chatman | Antonio,CIN,2006,3,,,,5,3,22,,,,,,,,,,,,,,,,,,,,,,,,,
Chatman | Antonio,CIN,2007,13,1,5,,29,19,149,1,,,,,,,,,,,,,,,,,,,,,,,,
Chatman | Antonio,CIN,2008,10,2,4,,31,21,194,,,,,,,,,,,,,,,,,,,,,,,,,
Chatman | Antonio,GB,2004,13,4,36,,44,22,246,1,,,,,,,,,,,,,,,,,,,,,,,,
Chatman | Antonio,GB,2005,16,8,34,,83,49,549,4,,,,,,,,,,,,,,,,,,,,,,,,
Childress | Brandon,NE,2005,1,,,,6,3,32,,,,,,,,,,,,,,,,,,,,,,,,,
Childress | Brandon,NE,2006,1,,,,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,
Chrebet | Wayne,NYJ,2004,13,,,,51,31,397,1,,,,,,,,,,,,,,,,,,,,,,,,
Chrebet | Wayne,NYJ,2005,7,,,,24,15,153,,,,,,,,,,,,,,,,,,,,,,,,,
Clark | Brian,DET,2010,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark | Brian,TB,2007,10,,,,6,4,23,,,,,,,,,,,,,,,,,,,,,,,,,
Clark | Brian,TB,2008,9,,,,2,1,12,,,,,,,,,,,,,,,,,,,,,,,,,
Clark | Brian,TB,2009,14,,,,18,6,65,,,,,,,,,,,,,,,,,,,,,,,,,
Clayton | Mark,BAL,2005,13,8,33,1,85,44,471,2,,,,,,,,,,,,,,,,,,,,,,,,
Clayton | Mark,BAL,2006,16,7,-30,,111,67,939,5,,,,,,,,,,,,,,,,,,,,,,,,
Clayton | Mark,BAL,2007,16,,,,89,48,531,,,,,,,,,,,,,,,,,,,,,,,,,
Clayton | Mark,BAL,2008,16,6,81,1,83,41,695,3,,,,,,,,,,,,,,,,,,,,,,,,
Clayton | Mark,BAL,2009,14,4,28,,74,34,480,2,,,,,,,,,,,,,,,,,,,,,,,,
Clayton | Mark,STL,2010,5,1,6,,42,23,306,2,,,,,,,,,,,,,,,,,,,,,,,,
Clayton | Mark,STL,2011,2,,,,5,3,26,,,,,,,,,,,,,,,,,,,,,,,,,
Clayton | Michael,NYG,2010,6,,,,4,2,19,,,,,,,,,,,,,,,,,,,,,,,,,
Clayton | Michael,NYG,2011,5,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Clayton | Michael,TB,2004,16,5,30,,121,80,1193,7,,,,,,,,,,,,,,,,,,,,,,,,
Clayton | Michael,TB,2005,13,1,2,,55,32,372,,,,,,,,,,,,,,,,,,,,,,,,,
Clayton | Michael,TB,2006,12,5,41,,67,33,356,1,,,,,,,,,,,,,,,,,,,,,,,,
Clayton | Michael,TB,2007,14,5,22,,40,22,301,,,,,,,,,,,,,,,,,,,,,,,,,
Clayton | Michael,TB,2008,15,2,5,,61,38,484,1,,,,,,,,,,,,,,,,,,,,,,,,
Clayton | Michael,TB,2009,13,,,,48,16,230,1,,,,,,,,,,,,,,,,,,,,,,,,
Clemons | Toney,JAC,2012,4,,,,11,3,41,,,,,,,,,,,,,,,,,,,,,,,,,
Clowney | David,NYJ,2008,2,,,,2,1,26,,,,,,,,,,,,,,,,,,,,,,,,,
Clowney | David,NYJ,2009,13,3,1,,22,14,191,1,,,,,,,,,,,,,,,,,,,,,,,,
Clowney | David,NYJ,2010,13,,,,16,7,124,,,,,,,,,,,,,,,,,,,,,,,,,
Cobb | Randall,GBP,2011,15,2,5,,31,25,375,1,,,,,,,,,,,,,,,,,,,,,,,,
Cobb | Randall,GBP,2012,15,10,132,,104,80,954,8,,,,,,,,,,,,,,,,,,,,,,,,
Coffman | Chase,ATL,2012,5,,,,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,
Colbert | Keary,CAR,2004,15,,,,96,47,754,5,,,,,,,,,,,,,,,,,,,,,,,,
Colbert | Keary,CAR,2005,16,1,6,,59,25,282,2,,,,,,,,,,,,,,,,,,,,,,,,
Colbert | Keary,CAR,2006,7,,,,13,5,56,,,,,,,,,,,,,,,,,,,,,,,,,
Colbert | Keary,CAR,2007,12,,,,69,32,332,,,,,,,,,,,,,,,,,,,,,,,,,
Colbert | Keary,DEN,2008,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colbert | Keary,KCC,2011,7,,,,12,9,89,,,,,,,,,,,,,,,,,,,,,,,,,
Coles | Laveranues,CIN,2009,16,2,10,,76,43,514,5,,,,,,,,,,,,,,,,,,,,,,,,
Coles | Laveranues,NYJ,2005,16,,,,134,73,845,5,,,,,,,,,,,,,,,,,,,,,,,,
Coles | Laveranues,NYJ,2006,16,2,14,,157,91,1098,6,,,,,,,,,,,,,,,,,,,,,,,,
Coles | Laveranues,NYJ,2007,12,,,,89,55,646,6,,,,,,,,,,,,,,,,,,,,,,,,
Coles | Laveranues,NYJ,2008,16,2,9,,116,70,850,7,,,,,,,,,,,,,,,,,,,,,,,,
Coles | Laveranues,WAS,2004,16,3,-3,,167,90,950,1,,,,,,,,,,,,,,,,,,,,,,,,
Collie | Austin,IND,2009,16,2,1,,90,60,676,7,,,,,,,,,,,,,,,,,,,,,,,,
Collie | Austin,IND,2010,9,,,,71,58,649,8,,,,,,,,,,,,,,,,,,,,,,,,
Collie | Austin,IND,2011,16,,,,94,54,514,1,,,,,,,,,,,,,,,,,,,,,,,,
Collie | Austin,IND,2012,1,,,,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,
Colston | Marques,NO,2006,13,,,,117,70,1038,8,,,,,,,,,,,,,,,,,,,,,,,,
Colston | Marques,NO,2007,16,,,,143,98,1202,11,,,,,,,,,,,,,,,,,,,,,,,,
Colston | Marques,NO,2008,11,,,,88,47,760,5,,,,,,,,,,,,,,,,,,,,,,,,
Colston | Marques,NO,2009,16,1,6,,106,70,1074,9,,,,,,,,,,,,,,,,,,,,,,,,
Colston | Marques,NO,2010,15,1,1,,132,84,1023,7,,,,,,,,,,,,,,,,,,,,,,,,
Colston | Marques,NOS,2011,14,,,,107,80,1143,8,,,,,,,,,,,,,,,,,,,,,,,,
Colston | Marques,NOS,2012,16,,,,130,83,1154,10,,,,,,,,,,,,,,,,,,,,,,,,
Cone | Kevin,ATL,2012,12,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Conway | Curtis,SF,2004,14,,,,76,38,403,3,,,,,,,,,,,,,,,,,,,,,,,,
Cooper | Josh,CLE,2012,6,,,,18,8,106,,,,,,,,,,,,,,,,,,,,,,,,,
Cooper | Riley,PHI,2010,13,,,,18,7,116,1,,,,,,,,,,,,,,,,,,,,,,,,
Cooper | Riley,PHI,2011,16,,,,35,16,315,1,,,,,,,,,,,,,,,,,,,,,,,,
Cooper | Riley,PHI,2012,11,,,,47,23,248,3,,,,,,,,,,,,,,,,,,,,,,,,
Copper | Terrance,BAL,2008,7,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copper | Terrance,DAL,2004,6,1,-1,,19,7,84,1,,,,,,,,,,,,,,,,,,,,,,,,
Copper | Terrance,DAL,2005,4,,,,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,
Copper | Terrance,KC,2009,15,,,,6,4,68,,,,,,,,,,,,,,,,,,,,,,,,,
Copper | Terrance,KC,2010,16,,,,28,18,157,,,,,,,,,,,,,,,,,,,,,,,,,
Copper | Terrance,KCC,2011,16,,,,12,8,114,,,,,,,,,,,,,,,,,,,,,,,,,
Copper | Terrance,KCC,2012,15,1,1,,12,8,79,,,,,,,,,,,,,,,,,,,,,,,,,
Copper | Terrance,NO,2006,9,1,8,,41,23,385,3,,,,,,,,,,,,,,,,,,,,,,,,
Copper | Terrance,NO,2007,15,,,,22,15,126,2,,,,,,,,,,,,,,,,,,,,,,,,
Cosby | Quan,CIN,2009,16,1,-2,,6,4,55,,,,,,,,,,,,,,,,,,,,,,,,,
Cosby | Quan,CIN,2010,16,,,,2,2,16,,,,,,,,,,,,,,,,,,,,,,,,,
Cotchery | Jerricho,NYJ,2004,6,,,,12,6,60,,,,,,,,,,,,,,,,,,,,,,,,,
Cotchery | Jerricho,NYJ,2005,11,1,4,,34,19,251,,,,,,,,,,,,,,,,,,,,,,,,,
Cotchery | Jerricho,NYJ,2006,16,5,25,,127,82,961,6,,,,,,,,,,,,,,,,,,,,,,,,
Cotchery | Jerricho,NYJ,2007,15,5,38,,127,82,1130,2,,,,,,,,,,,,,,,,,,,,,,,,
Cotchery | Jerricho,NYJ,2008,16,2,8,,111,71,858,5,,,,,,,,,,,,,,,,,,,,,,,,
Cotchery | Jerricho,NYJ,2009,14,2,7,1,96,57,821,3,,,,,,,,,,,,,,,,,,,,,,,,
Cotchery | Jerricho,NYJ,2010,14,4,-3,,86,41,433,2,,,,,,,,,,,,,,,,,,,,,,,,
Cotchery | Jerricho,PIT,2011,13,1,3,,30,16,237,2,,,,,,,,,,,,,,,,,,,,,,,,
Cotchery | Jerricho,PIT,2012,14,,,,27,17,205,,,,,,,,,,,,,,,,,,,,,,,,,
Crabtree | Michael,SF,2009,11,,,,86,48,625,2,,,,,,,,,,,,,,,,,,,,,,,,
Crabtree | Michael,SF,2010,16,,,,101,55,741,6,,,,,,,,,,,,,,,,,,,,,,,,
Crabtree | Michael,SFO,2011,15,1,6,,114,72,874,4,,,,,,,,,,,,,,,,,,,,,,,,
Crabtree | Michael,SFO,2012,16,1,8,,127,85,1105,9,,,,,,,,,,,,,,,,,,,,,,,,
Crayton | Patrick,DAL,2004,5,,,,14,11,132,1,,,,,,,,,,,,,,,,,,,,,,,,
Crayton | Patrick,DAL,2005,10,1,0,,35,22,341,2,,,,,,,,,,,,,,,,,,,,,,,,
Crayton | Patrick,DAL,2006,15,,,,51,36,516,4,,,,,,,,,,,,,,,,,,,,,,,,
Crayton | Patrick,DAL,2007,15,,,,81,50,697,7,,,,,,,,,,,,,,,,,,,,,,,,
Crayton | Patrick,DAL,2008,16,1,11,,70,39,550,4,,,,,,,,,,,,,,,,,,,,,,,,
Crayton | Patrick,DAL,2009,16,4,28,,67,37,622,5,,,,,,,,,,,,,,,,,,,,,,,,
Crayton | Patrick,SD,2010,9,,,,42,28,514,1,,,,,,,,,,,,,,,,,,,,,,,,
Crayton | Patrick,SDC,2011,14,,,,34,23,248,1,,,,,,,,,,,,,,,,,,,,,,,,
Cribbs | Josh,CLE,2005,1,,,,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,
Cribbs | Josh,CLE,2006,11,2,11,,15,10,91,,,,,,,,,,,,,,,,,,,,,,,,,
Cribbs | Josh,CLE,2012,16,6,42,,11,7,63,,,,,,,,,,,,,,,,,,,,,,,,,
Cribbs | Joshua,CLE,2007,16,9,61,,5,3,37,,,,,,,,,,,,,,,,,,,,,,,,,
Cribbs | Joshua,CLE,2008,15,29,167,1,7,2,18,1,,,,,,,,,,,,,,,,,,,,,,,,
Cribbs | Joshua,CLE,2009,16,55,381,1,37,20,135,1,,,,,,,,,,,,,,,,,,,,,,,,
Cribbs | Joshua,CLE,2010,15,20,66,,39,23,292,1,,,,,,,,,,,,,,,,,,,,,,,,
Cribbs | Joshua,CLE,2011,16,7,25,,67,41,518,4,,,,,,,,,,,,,,,,,,,,,,,,
Criner | Juron,OAK,2012,12,,,,33,16,151,1,,,,,,,,,,,,,,,,,,,,,,,,
Cruz | Victor,NYG,2010,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruz | Victor,NYG,2011,16,1,3,,131,82,1536,9,,,,,,,,,,,,,,,,,,,,,,,,
Cruz | Victor,NYG,2012,16,,,,143,86,1092,10,,,,,,,,,,,,,,,,,,,,,,,,
Curry | Dominique,STL,2010,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curry | Ronald,OAK,2004,12,1,-3,,71,50,679,6,,,,,,,,,,,,,,,,,,,,,,,,
Curry | Ronald,OAK,2005,2,,,,3,2,12,,,,,,,,,,,,,,,,,,,,,,,,,
Curry | Ronald,OAK,2006,16,1,4,,88,62,727,1,,,,,,,,,,,,,,,,,,,,,,,,
Curry | Ronald,OAK,2007,16,1,1,,97,55,717,4,,,,,,,,,,,,,,,,,,,,,,,,
Curry | Ronald,OAK,2008,13,1,1,,48,19,181,2,,,,,,,,,,,,,,,,,,,,,,,,
Curtis | Kevin,MIA,2010,2,1,6,,2,1,6,,,,,,,,,,,,,,,,,,,,,,,,,
Curtis | Kevin,PHI,2007,16,,,,135,77,1110,6,,,,,,,,,,,,,,,,,,,,,,,,
Curtis | Kevin,PHI,2008,9,,,,63,33,390,2,,,,,,,,,,,,,,,,,,,,,,,,
Curtis | Kevin,PHI,2009,3,,,,15,6,77,,,,,,,,,,,,,,,,,,,,,,,,,
Curtis | Kevin,STL,2004,14,3,24,,56,32,421,2,,,,,,,,,,,,,,,,,,,,,,,,
Curtis | Kevin,STL,2005,16,1,5,1,97,60,801,6,,,,,,,,,,,,,,,,,,,,,,,,
Curtis | Kevin,STL,2006,15,4,4,,58,39,469,4,,,,,,,,,,,,,,,,,,,,,,,,
Darling | Devard,BAL,2004,1,,,,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,
Darling | Devard,BAL,2007,16,,,,39,18,326,3,,,,,,,,,,,,,,,,,,,,,,,,
Darling | Devard,KC,2008,16,,,,33,17,247,1,,,,,,,,,,,,,,,,,,,,,,,,
Davis | Andre,HOU,2007,14,,,,63,33,583,3,,,,,,,,,,,,,,,,,,,,,,,,
Davis | Andre',BUF,2006,4,,,,6,2,13,,,,,,,,,,,,,,,,,,,,,,,,,
Davis | Andre',CLE,2004,7,1,-3,,34,16,416,2,,,,,,,,,,,,,,,,,,,,,,,,
Davis | Andre',HOU,2008,12,,,,28,13,213,,,,,,,,,,,,,,,,,,,,,,,,,
Davis | Andre',HOU,2009,14,,,,11,6,59,,,,,,,,,,,,,,,,,,,,,,,,,
Davis | Andre',NE,2005,8,,,,25,9,190,1,,,,,,,,,,,,,,,,,,,,,,,,
Davis | Britt,DEN,2010,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis | Buster,SD,2008,4,,,,7,4,59,,,,,,,,,,,,,,,,,,,,,,,,,
Davis | Buster,SD,2009,1,1,4,,7,6,52,,,,,,,,,,,,,,,,,,,,,,,,,
Davis | Buster,SD,2010,7,,,,39,21,259,1,,,,,,,,,,,,,,,,,,,,,,,,
Davis | Chris,NYJ,2007,2,1,3,,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
Davis | Chris,TEN,2007,12,2,19,,9,5,38,,,,,,,,,,,,,,,,,,,,,,,,,
Davis | Chris,TEN,2008,5,,,,3,2,31,,,,,,,,,,,,,,,,,,,,,,,,,
Davis | Craig,SD,2007,14,3,9,,34,20,188,1,,,,,,,,,,,,,,,,,,,,,,,,
Davis | Drew,ATL,2012,15,,,,6,4,40,1,,,,,,,,,,,,,,,,,,,,,,,,
Davis | Rashied,CHI,2006,15,,,,57,22,307,2,,,,,,,,,,,,,,,,,,,,,,,,
Davis | Rashied,CHI,2007,16,,,,32,17,165,,,,,,,,,,,,,,,,,,,,,,,,,
Davis | Rashied,CHI,2008,16,3,14,,67,35,445,2,,,,,,,,,,,,,,,,,,,,,,,,
Davis | Rashied,CHI,2009,16,,,,8,5,35,,,,,,,,,,,,,,,,,,,,,,,,,
Davis | Rashied,CHI,2010,16,,,,14,9,84,1,,,,,,,,,,,,,,,,,,,,,,,,
Davis | Rashied,DET,2011,11,,,,5,4,63,,,,,,,,,,,,,,,,,,,,,,,,,
Decker | Eric,DEN,2010,14,,,,8,6,106,1,,,,,,,,,,,,,,,,,,,,,,,,
Decker | Eric,DEN,2011,16,1,1,,94,44,612,8,,,,,,,,,,,,,,,,,,,,,,,,
Decker | Eric,DEN,2012,16,,,,122,85,1064,13,,,,,,,,,,,,,,,,,,,,,,,,
Devoe | Todd,DEN,2005,8,,,,14,9,87,1,,,,,,,,,,,,,,,,,,,,,,,,
Dickerson | Dorin,BUF,2012,10,1,-8,,15,9,117,,,,,,,,,,,,,,,,,,,,,,,,,
Dickerson | Dorin,HOU,2010,7,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dillard | Jarett,JAC,2009,7,,,,8,6,106,,,,,,,,,,,,,,,,,,,,,,,,,
Dillard | Jarett,JAC,2011,14,,,,50,29,292,1,,,,,,,,,,,,,,,,,,,,,,,,
Doss | Tandon,BAL,2011,5,,,,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Doss | Tandon,BAL,2012,14,,,,17,7,123,1,,,,,,,,,,,,,,,,,,,,,,,,
Doucet | Early,ARI,2008,7,,,,17,14,90,,,,,,,,,,,,,,,,,,,,,,,,,
Doucet | Early,ARI,2009,9,,,,24,17,214,1,,,,,,,,,,,,,,,,,,,,,,,,
Doucet | Early,ARI,2010,10,2,5,,59,26,291,1,,,,,,,,,,,,,,,,,,,,,,,,
Doucet | Early,ARI,2011,16,,,,97,54,689,5,,,,,,,,,,,,,,,,,,,,,,,,
Doucet | Early,ARI,2012,12,2,9,,53,28,207,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas | Harry,ATL,2008,16,12,69,1,39,23,320,1,,,,,,,,,,,,,,,,,,,,,,,,
Douglas | Harry,ATL,2010,16,2,-5,,53,22,294,1,,,,,,,,,,,,,,,,,,,,,,,,
Douglas | Harry,ATL,2011,16,1,3,,62,39,498,1,,,,,,,,,,,,,,,,,,,,,,,,
Douglas | Harry,ATL,2012,15,2,4,,59,38,396,1,,,,,,,,,,,,,,,,,,,,,,,,
Driver | Donald,GB,2004,16,3,4,,141,84,1208,9,,,,,,,,,,,,,,,,,,,,,,,,
Driver | Donald,GB,2005,16,2,13,,149,86,1221,5,,,,,,,,,,,,,,,,,,,,,,,,
Driver | Donald,GB,2006,16,7,16,,172,91,1288,8,,,,,,,,,,,,,,,,,,,,,,,,
Driver | Donald,GB,2007,15,2,4,,122,82,1048,2,,,,,,,,,,,,,,,,,,,,,,,,
Driver | Donald,GB,2008,16,2,4,,115,74,1012,5,,,,,,,,,,,,,,,,,,,,,,,,
Driver | Donald,GB,2009,16,1,13,,112,70,1061,6,,,,,,,,,,,,,,,,,,,,,,,,
Driver | Donald,GB,2010,15,,,,86,51,565,4,,,,,,,,,,,,,,,,,,,,,,,,
Driver | Donald,GBP,2011,16,,,,56,37,445,6,,,,,,,,,,,,,,,,,,,,,,,,
Driver | Donald,GBP,2012,13,,,,13,8,77,2,,,,,,,,,,,,,,,,,,,,,,,,
Drummond | Eddie,DET,2004,1,1,9,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drummond | Eddie,DET,2005,1,1,-3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drummond | Eddie,DET,2006,4,1,4,,11,2,10,,,,,,,,,,,,,,,,,,,,,,,,,
Drummond | Eddie,KC,2007,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durham | Kris,DET,2012,4,,,,21,8,125,1,,,,,,,,,,,,,,,,,,,,,,,,
Durham | Kris,SEA,2011,3,,,,4,3,30,,,,,,,,,,,,,,,,,,,,,,,,,
Dwight | Tim,NE,2005,15,4,11,,35,19,332,3,,,,,,,,,,,,,,,,,,,,,,,,
Dwight | Tim,NYJ,2006,8,2,28,,19,16,112,,,,,,,,,,,,,,,,,,,,,,,,,
Dwight | Tim,OAK,2007,6,2,12,,15,6,98,2,,,,,,,,,,,,,,,,,,,,,,,,
Dwight | Tim,SD,2004,5,4,54,,6,2,31,1,,,,,,,,,,,,,,,,,,,,,,,,
Ealy | Biren,GB,2009,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ealy | Biren,TEN,2007,4,,,,3,1,6,,,,,,,,,,,,,,,,,,,,,,,,,
Edelman | Julian,NE,2009,11,2,5,,54,37,359,1,,,,,,,,,,,,,,,,,,,,,,,,
Edelman | Julian,NE,2010,15,2,14,,14,7,86,,,,,,,,,,,,,,,,,,,,,,,,,
Edelman | Julian,NEP,2011,13,4,8,,8,4,34,,,,,,,,,,,,,,,,,,,,,,,,,
Edelman | Julian,NEP,2012,9,4,45,,32,21,235,3,,,,,,,,,,,,,,,,,,,,,,,,
Edison | Dominique,TEN,2009,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards | Armanti,CAR,2010,3,1,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards | Armanti,CAR,2011,16,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
