1,Johnson | Andre,
2,Fitzgerald | Larry,
3,Johnson | Calvin,
4,White | Roddy,
5,Nicks | Hakeem,
6,Wallace | Mike,
7,Austin | Miles,
8,Jackson | Vincent,
9,Wayne | Reggie,
10,Jennings | Greg,
11,Williams | Mike (TB),
12,Jackson | DeSean,
13,Marshall | Brandon,
14,Lloyd | Brandon,
15,Bryant | Dez,
16,Bowe | Dwayne,
17,Johnson | Steve,
18,Manningham | Mario,
19,Welker | Wes,
20,Boldin | Anquan,
21,Maclin | Jeremy,
22,Colston | Marques,
21,Britt | Kenny,
24,Holmes | Santonio,
25,Harvin | Percy,
26,Johnson | Chad,
27,Collie | Austin,
28,Moss | Santana,
29,Thomas | Mike,
30,Jones | Julio,
31,Rice | Sidney,
32,Amendola | Danny,
33,Moore | Lance,
34,Sims-Walker | Mike,
35,Floyd | Malcolm,
36,Burress | Plaxico,
37,Smith | Steve (Car),
38,Garcon | Pierre,
39,Green | A.J.,
40,Evans | Lee,
41,Nelson | Jordy,
42,Edwards | Braylon,
47,Knox | Johnny,
44,Ward | Hines,
45,Crabtree | Michael,
46,Bess | Davone,
47,Meachem | Robert,
48,Williams | Mike,
49,Burleson | Nate,
50,Bennett | Earl,
51,Ford | Jacoby,
52,Branch | Deion,
53,Williams | Roy,
54,Moore | Denarius,
55,Jones | Jacoby,
56,Simpson | Jerome,
57,Little | Greg,
58,Jones | James,
59,Breaston | Steve,
60,Smith | Steve (NYG),
61,Driver | Donald,
